modelos,neg_log_loss
RandomForest,-0.7111714560471053
RandomForest,-0.6684576097879965
RandomForest,-0.6670286127556413
RandomForest,-0.6825037107404657
RandomForest,-0.6693621435235038
RandomForest,-0.668482555583223
RandomForest,-0.6477915376573403
RandomForest,-0.6374377060380747
RandomForest,-0.6599002375300161
RandomForest,-0.722038853627673
Adaboost,-0.687903384095693
Adaboost,-0.6881877137470138
Adaboost,-0.6889126307199582
Adaboost,-0.6889940024137096
Adaboost,-0.6893379061813356
Adaboost,-0.6893610357872141
Adaboost,-0.6893098029719171
Adaboost,-0.6885219643917303
Adaboost,-0.6887123349357334
Adaboost,-0.6887681347491796
XGBOOST,-0.6321694054270294
XGBOOST,-0.6064382202852633
XGBOOST,-0.622794718270875
XGBOOST,-0.6197566149335949
XGBOOST,-0.6185743217335666
XGBOOST,-0.6400865876083697
XGBOOST,-0.633193123225505
XGBOOST,-0.6524723604349666
XGBOOST,-0.608842037200352
XGBOOST,-0.6270369392737319
KNN,-2.0951484844801285
KNN,-1.8156768692520662
KNN,-2.0120588004355335
KNN,-1.9866008413801224
KNN,-2.0073702573430325
KNN,-2.159777809489107
KNN,-1.763993688058677
KNN,-2.0796860091315974
KNN,-1.9270582781761794
KNN,-2.0207037333740345
SVC,-0.6698783691305512
SVC,-0.6697012094082682
SVC,-0.6743134706766519
SVC,-0.6764606493052537
SVC,-0.672549614920405
SVC,-0.6705380332591876
SVC,-0.661613609302141
SVC,-0.6523210595872824
SVC,-0.6668630122758182
SVC,-0.6729007283850641
Neural Network model,-0.6159013501678979
Neural Network model,-0.6051532476720063
Neural Network model,-0.6185496198832409
Neural Network model,-0.6246496796069834
Neural Network model,-0.6101766297306801
Neural Network model,-0.6987322239133642
Neural Network model,-0.6296323035290811
Neural Network model,-0.6172539381290949
Neural Network model,-0.6187094182645921
Neural Network model,-0.6297231677113533
